Transaction ID,Stock Symbol,Transaction Type,Quantity,Price,Transaction Date
54,ADBE,Sell,274,230.54,2022-02-11
55,TSLA,Sell,455,318.98,2022-07-14
56,PYPL,Sell,657,461.49,2022-04-07
57,INTC,Buy,220,259.72,2022-02-15
58,NVDA,Sell,661,624.15,2022-07-17
59,ADBE,Sell,750,625.27,2022-10-31
60,AAPL,Buy,543,757.64,2022-04-22
61,INTC,Buy,296,317.26,2022-06-25
62,GOOGL,Sell,457,309.63,2022-07-21
63,AAPL,Sell,307,127.2,2022-12-17
64,INTC,Sell,82,622.81,2022-06-27
65,TSLA,Sell,418,213.65,2022-03-20
66,TSLA,Buy,278,244.74,2022-04-02
67,INTC,Buy,182,718.64,2022-01-08
68,TSLA,Buy,459,322.83,2022-02-06
69,AMZN,Sell,585,841.09,2022-12-24
70,ADBE,Sell,254,77.01,2022-07-23
71,NVDA,Buy,442,651.48,2022-07-17
72,FB,Sell,120,466.47,2022-08-20
73,MSFT,Buy,317,31.2,2022-08-20
74,MSFT,Buy,585,746.26,2022-01-03
75,INTC,Buy,672,770.98,2022-03-24
76,NVDA,Buy,444,549.4,2022-03-17
77,AAPL,Sell,336,69.65,2022-03-01
78,MSFT,Buy,826,655.94,2022-10-07
79,FB,Buy,508,273.91,2022-07-27
80,TSLA,Sell,946,156.82,2022-03-13
81,TSLA,Buy,785,195.14,2022-04-28
82,TSLA,Buy,412,459.58,2022-01-04
83,FB,Buy,37,822.44,2022-10-24
84,AAPL,Buy,265,331.91,2022-01-01
85,GOOGL,Sell,26,890.09,2022-01-12
86,AMZN,Buy,877,926.7,2022-05-11
87,TSLA,Sell,934,139.12,2022-08-06
88,INTC,Sell,224,447.67,2022-01-10
89,TSLA,Buy,301,351.25,2022-02-16
90,PYPL,Sell,138,763.38,2022-01-25
91,AMZN,Buy,497,144.33,2022-10-18
92,ADBE,Buy,87,932.15,2022-08-27
93,ADBE,Buy,164,894.23,2022-06-15
94,INTC,Buy,125,769.8,2022-12-25
95,AMZN,Buy,301,945.66,2022-11-21
96,AMZN,Buy,442,113.4,2022-09-20
97,FB,Buy,662,772.39,2022-04-24
98,INTC,Buy,258,47.23,2022-06-16
99,INTC,Sell,662,660.11,2022-05-09
100,INTC,Sell,181,144.89,2022-11-10
101,FB,Buy,501,73.83,2022-08-09
102,TSLA,Sell,775,946.0,2022-01-28
103,FB,Buy,993,820.35,2022-04-05
104,GOOGL,Buy,179,735.01,2022-11-09
105,TSLA,Sell,113,917.96,2022-05-13
106,AAPL,Buy,661,127.45,2022-01-10
107,FB,Buy,532,843.93,2022-09-16
108,TSLA,Buy,653,256.19,2022-05-20
109,AAPL,Buy,155,155.88,2022-03-09
110,MSFT,Buy,972,593.72,2022-10-08
111,NVDA,Sell,570,302.81,2022-07-15
112,ADBE,Buy,869,262.06,2022-04-22
113,INTC,Buy,827,972.77,2022-05-11
114,AAPL,Buy,361,129.67,2022-12-06
115,PYPL,Sell,423,281.45,2022-06-04
116,AMZN,Sell,146,972.75,2022-01-17
117,ADBE,Buy,68,439.12,2022-02-16
118,MSFT,Sell,109,301.24,2022-07-31
119,INTC,Sell,732,353.37,2022-01-30
120,AMZN,Sell,507,844.88,2022-01-03
121,TSLA,Sell,504,151.88,2022-01-13
122,ADBE,Buy,249,88.7,2022-12-07
123,MSFT,Buy,777,351.49,2022-04-29
124,FB,Sell,906,113.81,2022-06-08
125,GOOGL,Sell,216,947.65,2022-10-09
126,ADBE,Sell,421,163.03,2022-12-23
127,AMZN,Sell,492,128.91,2022-07-15
128,NVDA,Buy,951,493.69,2022-04-23
129,AMZN,Sell,183,831.4,2022-01-05
130,MSFT,Sell,27,225.87,2022-06-10
131,MSFT,Sell,539,950.81,2022-01-07
132,FB,Sell,913,477.15,2022-03-31
133,GOOGL,Sell,577,463.62,2022-06-26
134,NVDA,Sell,349,35.2,2022-02-22
135,INTC,Buy,770,330.12,2022-01-19
136,AMZN,Buy,259,975.63,2022-04-03
137,GOOGL,Sell,84,62.66,2022-09-14
138,ADBE,Sell,855,510.57,2022-08-22
139,INTC,Sell,990,175.28,2022-07-11
140,AAPL,Buy,186,498.71,2022-12-11
141,NVDA,Sell,431,436.31,2022-01-08
142,INTC,Sell,603,450.61,2022-09-30
143,PYPL,Sell,434,987.94,2022-01-25
144,GOOGL,Buy,50,451.27,2022-02-07
145,MSFT,Sell,251,250.83,2022-08-09
146,ADBE,Sell,770,552.55,2022-02-16
147,PYPL,Sell,423,277.2,2022-04-05
148,AMZN,Buy,611,432.29,2022-10-12
149,AAPL,Sell,596,258.23,2022-08-22
150,ADBE,Sell,791,711.36,2022-03-18
151,AMZN,Buy,264,246.35,2022-10-03
152,NVDA,Buy,520,436.72,2022-11-12
153,INTC,Buy,28,780.3,2022-07-09
154,AAPL,Sell,484,914.4,2022-09-24
155,FB,Sell,929,866.45,2022-06-26
156,GOOGL,Buy,68,224.11,2022-05-27
157,INTC,Sell,72,90.31,2022-06-23
158,NVDA,Buy,386,769.72,2022-10-18
159,PYPL,Buy,34,243.68,2022-05-11
160,ADBE,Sell,805,808.87,2022-06-28
161,TSLA,Sell,29,116.71,2022-11-18
162,FB,Sell,643,976.88,2022-01-23
163,TSLA,Buy,645,888.05,2022-05-24
164,NVDA,Sell,983,938.97,2022-09-26
165,NVDA,Sell,149,115.65,2022-11-08
166,TSLA,Sell,968,281.0,2022-01-02
167,FB,Sell,274,326.67,2022-01-16
168,GOOGL,Sell,814,460.71,2022-01-08
169,ADBE,Sell,134,398.04,2022-01-28
170,MSFT,Buy,7,852.29,2022-06-18
171,MSFT,Sell,139,742.85,2022-07-25
172,AMZN,Buy,799,173.98,2022-12-06
173,AMZN,Sell,15,623.5,2022-02-08
174,FB,Sell,792,533.44,2022-08-19
175,NVDA,Sell,676,889.39,2022-09-09
176,NVDA,Sell,838,705.78,2022-09-12
177,INTC,Sell,876,873.83,2022-06-05
178,AMZN,Sell,163,712.14,2022-10-14
179,PYPL,Sell,303,174.36,2022-11-09
180,AMZN,Sell,848,148.16,2022-12-24
181,FB,Sell,681,874.34,2022-10-14
182,PYPL,Sell,319,841.83,2022-01-02
183,PYPL,Sell,848,36.22,2022-11-15
184,INTC,Sell,75,380.75,2022-08-18
185,FB,Buy,776,113.01,2022-06-16
186,NVDA,Buy,538,897.52,2022-03-01
187,GOOGL,Sell,19,940.52,2022-10-09
188,AMZN,Buy,138,513.92,2022-06-28
189,NVDA,Sell,55,239.44,2022-09-02
190,FB,Buy,238,477.4,2022-02-19
191,ADBE,Sell,900,129.47,2022-03-12
192,AAPL,Sell,109,978.08,2022-06-20
193,NVDA,Buy,166,786.49,2022-06-30
194,GOOGL,Sell,68,28.5,2022-12-18
195,MSFT,Buy,614,440.8,2022-02-20
196,GOOGL,Sell,239,787.41,2022-12-11
197,ADBE,Buy,400,830.49,2022-03-22
198,GOOGL,Buy,196,358.8,2022-01-12
199,AAPL,Buy,466,217.24,2022-05-30
200,MSFT,Buy,703,547.08,2022-01-02
201,NVDA,Sell,375,861.49,2022-02-19
202,TSLA,Buy,573,864.23,2022-05-07
203,AAPL,Sell,536,421.8,2022-11-22
204,AAPL,Sell,408,244.47,2022-12-07
205,AMZN,Sell,39,251.2,2022-08-23
206,TSLA,Buy,974,575.07,2022-06-30
207,AAPL,Buy,753,292.89,2022-12-07
208,GOOGL,Sell,509,622.7,2022-12-25
209,AMZN,Sell,293,386.67,2022-09-25
210,FB,Sell,404,769.01,2022-12-07
211,TSLA,Buy,682,240.28,2022-10-26
212,AMZN,Sell,403,122.35,2022-12-20
213,PYPL,Buy,780,260.42,2022-01-06
214,AAPL,Buy,751,499.11,2022-06-24
215,GOOGL,Sell,956,975.45,2022-03-05
216,MSFT,Sell,575,725.24,2022-11-14
217,NVDA,Sell,168,773.88,2022-01-16
218,ADBE,Sell,259,107.65,2022-03-27
219,MSFT,Sell,125,847.22,2022-06-14
220,INTC,Sell,179,45.88,2022-06-19
221,AAPL,Buy,506,108.53,2022-12-08
222,INTC,Buy,413,376.64,2022-06-05
223,PYPL,Sell,62,462.88,2022-02-05
224,GOOGL,Sell,473,430.19,2022-03-03
225,FB,Buy,486,966.29,2022-11-03
226,AMZN,Sell,533,69.18,2022-08-29
227,AMZN,Buy,955,67.45,2022-07-17
228,TSLA,Sell,110,773.06,2022-09-30
229,TSLA,Buy,465,261.84,2022-05-19
230,AMZN,Buy,526,206.39,2022-08-07
231,FB,Sell,118,892.2,2022-05-13
232,FB,Sell,943,882.2,2022-07-16
233,AAPL,Buy,664,72.3,2022-03-13
234,GOOGL,Sell,878,807.92,2022-08-31
235,ADBE,Buy,922,536.43,2022-01-28
236,FB,Sell,447,304.44,2022-09-04
237,PYPL,Sell,455,684.0,2022-08-23
238,ADBE,Buy,620,740.89,2022-12-05
239,AAPL,Sell,168,685.92,2022-11-26
240,AMZN,Sell,319,486.1,2022-08-15
241,NVDA,Buy,118,145.44,2022-10-14
242,NVDA,Sell,502,175.07,2022-05-06
243,PYPL,Buy,299,659.43,2022-11-14
244,INTC,Sell,767,71.61,2022-08-19
245,TSLA,Buy,978,329.88,2022-02-02
246,INTC,Sell,653,19.95,2022-06-09
247,MSFT,Buy,732,935.61,2022-11-28
248,FB,Buy,90,152.05,2022-05-30
249,FB,Buy,336,492.08,2022-06-16
250,INTC,Sell,630,631.18,2022-09-24
251,TSLA,Sell,594,531.95,2022-09-13
252,MSFT,Buy,478,690.92,2022-10-25
253,INTC,Buy,672,527.43,2022-11-19
254,GOOGL,Buy,102,633.61,2022-01-18
255,PYPL,Buy,403,63.72,2022-09-07
256,TSLA,Sell,955,164.59,2022-09-18
257,PYPL,Buy,876,609.91,2022-09-11
258,TSLA,Buy,840,874.94,2022-03-02
259,INTC,Sell,960,336.38,2022-11-23
260,MSFT,Buy,582,308.82,2022-11-23
261,NVDA,Buy,709,151.66,2022-09-04
262,GOOGL,Sell,649,521.6,2022-12-19
263,FB,Buy,419,877.5,2022-06-08
264,NVDA,Buy,43,532.31,2022-02-12
265,ADBE,Buy,202,463.2,2022-07-26
266,PYPL,Buy,456,244.35,2022-07-13
267,ADBE,Buy,153,453.63,2022-06-24
268,ADBE,Buy,921,137.43,2022-08-06
269,INTC,Buy,651,95.13,2022-05-20
270,FB,Buy,56,400.82,2022-10-26
271,INTC,Buy,19,73.75,2022-06-03
272,INTC,Sell,557,761.14,2022-06-23
273,TSLA,Sell,291,552.63,2022-03-08
274,AAPL,Sell,218,494.8,2022-06-11
275,GOOGL,Sell,423,482.64,2022-10-24
276,AAPL,Buy,177,554.67,2022-07-09
277,AMZN,Sell,363,529.15,2022-07-02
278,FB,Buy,434,153.33,2022-09-22
279,NVDA,Sell,429,897.68,2022-03-02
280,INTC,Buy,659,384.56,2022-01-26
281,ADBE,Sell,901,239.05,2022-07-08
282,ADBE,Sell,277,270.04,2022-12-02
283,ADBE,Buy,920,775.13,2022-10-26
284,TSLA,Sell,819,195.6,2022-01-03
285,FB,Buy,612,573.64,2022-12-27
286,FB,Buy,611,11.74,2022-08-30
287,FB,Sell,456,924.14,2022-07-06
288,GOOGL,Buy,299,531.28,2022-01-10
289,AAPL,Buy,681,700.59,2022-08-31
290,GOOGL,Sell,747,728.25,2022-08-17
291,MSFT,Buy,898,728.73,2022-04-09
292,AMZN,Sell,944,666.13,2022-09-13
293,PYPL,Buy,90,344.55,2022-08-19
294,ADBE,Sell,391,294.41,2022-01-08
295,TSLA,Buy,307,885.77,2022-06-03
296,PYPL,Sell,46,192.31,2022-03-27
297,PYPL,Buy,954,963.43,2022-12-10
298,AMZN,Sell,545,826.43,2022-04-18
299,MSFT,Sell,1,106.83,2022-11-03
300,TSLA,Sell,267,598.23,2022-06-17
301,MSFT,Buy,460,755.95,2022-06-20
302,AAPL,Sell,810,556.63,2022-11-27
303,MSFT,Buy,56,927.01,2022-02-14
304,TSLA,Sell,559,32.62,2022-04-24
305,ADBE,Buy,53,629.18,2022-01-10
306,FB,Sell,337,58.28,2022-01-14
307,TSLA,Sell,880,572.19,2022-12-04
308,NVDA,Sell,917,791.78,2022-07-16
309,PYPL,Buy,963,503.7,2022-02-09
310,FB,Buy,440,445.33,2022-08-16
311,AAPL,Sell,265,159.11,2022-08-21
312,FB,Sell,704,91.0,2022-03-29
313,TSLA,Buy,679,776.39,2022-05-01
314,ADBE,Sell,233,253.05,2022-10-17
315,AAPL,Sell,172,414.24,2022-12-29
316,GOOGL,Buy,642,551.07,2022-04-15
317,NVDA,Buy,104,188.35,2022-12-09
318,FB,Sell,535,508.23,2022-06-22
319,NVDA,Sell,301,875.75,2022-08-15
320,ADBE,Buy,192,979.68,2022-06-02
321,PYPL,Buy,75,365.71,2022-11-16
322,TSLA,Sell,507,731.85,2022-01-16
323,NVDA,Sell,384,490.34,2022-06-23
324,NVDA,Sell,476,157.93,2022-10-05
325,FB,Sell,180,677.78,2022-09-19
326,INTC,Sell,457,346.21,2022-08-09
327,NVDA,Sell,43,793.09,2022-12-21
328,PYPL,Buy,40,700.66,2022-10-24
329,GOOGL,Buy,500,559.41,2022-11-30
330,FB,Sell,503,962.7,2022-06-09
331,INTC,Sell,192,776.77,2022-09-10
332,AAPL,Buy,349,362.91,2022-07-14
333,GOOGL,Sell,146,839.24,2022-01-20
334,GOOGL,Sell,708,469.69,2022-09-20
335,ADBE,Sell,407,80.6,2022-03-02
336,MSFT,Buy,76,319.79,2022-07-14
337,ADBE,Buy,315,926.01,2022-04-27
338,TSLA,Buy,778,912.15,2022-10-05
339,FB,Buy,621,574.29,2022-12-16
340,FB,Buy,534,935.36,2022-10-11
341,PYPL,Buy,638,372.21,2022-05-19
342,ADBE,Sell,692,430.79,2022-12-17
343,INTC,Buy,685,921.86,2022-01-27
344,TSLA,Buy,164,648.46,2022-12-17
345,NVDA,Sell,569,205.76,2022-06-06
346,AMZN,Buy,395,440.39,2022-11-29
347,GOOGL,Sell,258,376.32,2022-03-21
348,AMZN,Buy,654,918.42,2022-10-07
349,AAPL,Buy,749,610.84,2022-04-19
350,TSLA,Buy,622,781.5,2022-11-25
351,INTC,Buy,14,600.49,2022-01-16
352,NVDA,Buy,17,36.13,2022-03-01
353,INTC,Sell,198,722.92,2022-12-31
354,ADBE,Buy,445,22.98,2022-06-28
355,NVDA,Buy,201,52.0,2022-07-28
356,PYPL,Buy,520,411.99,2022-01-01
357,TSLA,Sell,929,542.92,2022-12-27
358,FB,Buy,903,402.98,2022-08-07
359,GOOGL,Sell,838,605.73,2022-01-11
360,AMZN,Sell,102,333.89,2022-05-23
361,MSFT,Buy,330,507.78,2022-11-17
362,INTC,Sell,678,746.83,2022-05-05
363,FB,Sell,260,411.6,2022-06-15
364,INTC,Sell,557,83.69,2022-10-01
365,INTC,Sell,87,550.34,2022-06-07
366,ADBE,Sell,478,255.16,2022-03-13
367,TSLA,Sell,318,860.06,2022-09-25
368,NVDA,Buy,563,116.0,2022-03-01
369,FB,Sell,700,413.92,2022-03-20
370,FB,Buy,590,405.28,2022-07-27
371,AAPL,Buy,37,264.25,2022-04-13
372,AMZN,Sell,851,401.78,2022-09-21
373,AMZN,Sell,264,346.5,2022-11-13
374,FB,Sell,295,42.21,2022-04-15
375,GOOGL,Buy,7,546.46,2022-03-24
376,TSLA,Sell,383,817.31,2022-02-28
377,TSLA,Sell,881,359.17,2022-03-27
378,AAPL,Buy,42,778.46,2022-01-20
379,INTC,Buy,506,383.12,2022-10-13
380,FB,Sell,868,169.18,2022-07-30
381,INTC,Buy,516,106.39,2022-05-30
382,FB,Buy,525,509.03,2022-03-19
383,NVDA,Sell,213,491.56,2022-03-23
384,AMZN,Buy,259,301.38,2022-09-25
385,GOOGL,Sell,493,235.89,2022-11-24
386,GOOGL,Buy,553,245.76,2022-07-30
387,MSFT,Buy,516,297.57,2022-01-20
388,AAPL,Sell,951,976.92,2022-06-24
389,INTC,Sell,136,659.12,2022-10-04
390,AMZN,Sell,490,764.92,2022-12-15
391,GOOGL,Buy,958,668.84,2022-05-27
392,ADBE,Sell,209,395.59,2022-01-26
393,AMZN,Buy,602,975.74,2022-02-06
394,PYPL,Buy,933,770.87,2022-04-05
395,AAPL,Sell,483,847.06,2022-02-25
396,MSFT,Buy,502,906.35,2022-01-13
397,GOOGL,Buy,522,700.22,2022-01-15
398,AAPL,Buy,398,958.36,2022-12-02
399,PYPL,Sell,721,344.9,2022-02-06
400,FB,Sell,253,755.85,2022-11-17
401,INTC,Buy,166,591.55,2022-04-02
402,GOOGL,Buy,123,191.07,2022-04-18
403,FB,Sell,115,372.3,2022-03-19
404,AAPL,Buy,725,954.77,2022-12-05
405,ADBE,Sell,753,966.66,2022-02-04
406,PYPL,Buy,272,952.99,2022-03-05
407,GOOGL,Sell,453,729.86,2022-02-22
408,ADBE,Sell,854,803.02,2022-02-16
409,ADBE,Sell,346,242.52,2022-02-20
410,GOOGL,Buy,912,995.75,2022-08-18
411,MSFT,Buy,596,696.28,2022-05-23
412,AMZN,Buy,140,313.06,2022-07-21
413,MSFT,Sell,497,980.23,2022-03-25
414,AMZN,Buy,177,205.03,2022-05-13
415,AMZN,Buy,855,430.81,2022-09-08
416,PYPL,Sell,470,110.75,2022-09-05
417,PYPL,Sell,281,621.74,2022-07-25
418,ADBE,Sell,375,603.82,2022-10-17
419,AAPL,Sell,436,794.6,2022-07-04
420,FB,Sell,383,371.91,2022-11-14
421,PYPL,Sell,904,99.44,2022-08-19
422,AMZN,Buy,112,52.74,2022-10-23
423,ADBE,Sell,871,915.53,2022-07-10
424,PYPL,Sell,788,774.6,2022-07-08
425,AMZN,Buy,400,793.99,2022-02-07
426,MSFT,Sell,115,665.46,2022-10-10
427,TSLA,Sell,379,719.56,2022-05-28
428,ADBE,Buy,446,107.8,2022-12-28
429,MSFT,Sell,307,629.65,2022-05-21
430,AAPL,Buy,887,400.18,2022-10-25
431,MSFT,Buy,186,711.46,2022-08-26
432,NVDA,Buy,426,721.43,2022-03-05
433,AAPL,Buy,892,828.86,2022-09-26
434,MSFT,Buy,265,720.91,2022-08-30
435,TSLA,Sell,386,833.58,2022-12-27
436,AMZN,Buy,139,720.05,2022-03-21
437,MSFT,Sell,304,10.22,2022-04-16
438,MSFT,Sell,768,712.07,2022-07-06
439,MSFT,Sell,669,741.65,2022-09-25
440,TSLA,Buy,418,194.59,2022-01-24
441,TSLA,Buy,641,814.87,2022-09-30
442,MSFT,Sell,703,855.8,2022-09-02
443,NVDA,Sell,806,651.67,2022-12-17
444,TSLA,Sell,490,969.53,2022-05-06
445,AAPL,Buy,700,694.79,2022-10-01
446,AAPL,Sell,242,241.95,2022-03-13
447,TSLA,Buy,315,314.38,2022-05-22
448,ADBE,Sell,502,545.5,2022-03-09
449,NVDA,Buy,848,213.19,2022-01-16
450,INTC,Buy,398,728.45,2022-09-24
451,PYPL,Buy,868,12.64,2022-08-13
452,MSFT,Sell,891,846.53,2022-11-03
453,AAPL,Buy,925,806.48,2022-02-24
454,INTC,Sell,412,447.05,2022-03-14
455,AMZN,Sell,477,128.98,2022-05-11
456,INTC,Sell,522,216.28,2022-02-14
457,GOOGL,Buy,63,111.56,2022-08-06
458,MSFT,Sell,508,476.18,2022-01-05
459,MSFT,Sell,922,299.63,2022-03-02
460,AMZN,Buy,486,185.15,2022-05-13
461,AMZN,Buy,583,619.85,2022-02-20
462,GOOGL,Sell,131,99.78,2022-05-04
463,FB,Buy,430,932.16,2022-09-07
464,GOOGL,Buy,368,908.82,2022-07-16
465,MSFT,Sell,865,110.14,2022-11-23
466,ADBE,Sell,747,199.13,2022-09-28
467,INTC,Sell,890,643.89,2022-04-25
468,INTC,Buy,580,966.5,2022-07-12
469,INTC,Sell,550,731.91,2022-08-21
470,TSLA,Sell,504,693.59,2022-05-12
471,AAPL,Sell,238,975.54,2022-10-04
472,AMZN,Sell,134,95.83,2022-12-05
473,PYPL,Buy,718,800.06,2022-01-12
474,GOOGL,Sell,277,247.68,2022-12-04
475,NVDA,Sell,551,695.06,2022-07-05
476,AMZN,Sell,140,128.15,2022-06-24
477,INTC,Buy,640,997.61,2022-07-28
478,INTC,Sell,23,595.72,2022-10-29
479,NVDA,Sell,180,56.01,2022-08-22
480,FB,Sell,241,24.84,2022-09-19
481,TSLA,Buy,609,862.97,2022-04-09
482,PYPL,Sell,599,375.71,2022-11-13
483,GOOGL,Buy,706,822.95,2022-11-28
484,PYPL,Buy,518,288.72,2022-12-23
485,ADBE,Sell,271,518.45,2022-09-16
486,TSLA,Buy,563,528.55,2022-01-10
487,FB,Sell,619,717.75,2022-06-29
488,INTC,Sell,377,397.95,2022-10-05
489,FB,Buy,424,419.7,2022-12-05
490,MSFT,Buy,471,190.91,2022-09-20
491,FB,Sell,389,452.03,2022-07-07
492,ADBE,Buy,240,618.84,2022-09-25
493,MSFT,Buy,181,275.94,2022-03-23
494,PYPL,Buy,244,57.23,2022-12-31
495,NVDA,Buy,438,68.69,2022-10-13
496,AAPL,Sell,543,398.47,2022-04-28
497,NVDA,Sell,914,857.87,2022-04-24
498,AAPL,Sell,876,571.69,2022-08-21
499,PYPL,Buy,501,800.6,2022-07-17
500,PYPL,Sell,82,641.0,2022-08-05
